permutation	orthogroup	pseudo_anchor_index	pseudo_alignment_position	species_total	species_with_feature	variance
1	orthogroup_1014	6	73	9	5	4108.7
1	orthogroup_1024	7	453	9	3	343.0
1	orthogroup_1038	1	216	9	3	65.33333333333333
1	orthogroup_1040	1	206	8	3	208.33333333333334
1	orthogroup_105	8	205	9	7	3550.6190476190477
1	orthogroup_1124	4	218	9	3	7396.0
1	orthogroup_1158	1	282	9	4	991.5833333333334
1	orthogroup_1158	5	539	9	3	0.0
1	orthogroup_1177	1	218	10	4	6174.895833333333
1	orthogroup_1181	1	146	10	3	1274.3333333333333
1	orthogroup_119	1	110	8	5	266.175
1	orthogroup_1208	1	74	9	3	252.0
1	orthogroup_1267	10	258	9	3	268.0
1	orthogroup_1271	1	70	10	6	0.0
1	orthogroup_1335	8	394	9	3	133.33333333333334
1	orthogroup_1363	1	42	9	3	284.3333333333333
1	orthogroup_1379	4	265	10	3	20.083333333333332
1	orthogroup_1379	6	368	10	3	14.083333333333334
1	orthogroup_14	1	127	8	4	1824.0
1	orthogroup_1400	1	166	8	3	456.3333333333333
1	orthogroup_1406	1	201	9	5	2558.675
1	orthogroup_1406	4	345	9	3	1132.3333333333333
1	orthogroup_1408	3	44	9	3	1073.5833333333333
1	orthogroup_141	6	130	10	3	4370.333333333333
1	orthogroup_1435	1	219	8	5	10546.3
1	orthogroup_1445	6	61	9	3	10.333333333333334
1	orthogroup_145	6	88	8	3	363.0
1	orthogroup_1453	7	498	8	3	5432.333333333333
1	orthogroup_1457	10	308	10	3	5826.083333333333
1	orthogroup_1557	8	228	8	5	683.675
1	orthogroup_1627	1	174	9	3	5461.333333333333
1	orthogroup_1627	3	181	9	4	3960.3333333333335
1	orthogroup_1636	1	420	10	4	14880.666666666666
1	orthogroup_1636	5	479	10	3	58.583333333333336
1	orthogroup_1733	7	503	9	3	19.0
1	orthogroup_1742	4	200	9	4	9518.666666666666
1	orthogroup_1784	1	88	8	3	2666.3333333333335
1	orthogroup_1811	1	117	8	6	936.175
1	orthogroup_1811	4	207	8	4	1473.7291666666667
1	orthogroup_1811	5	553	8	5	507.7
1	orthogroup_1831	7	158	8	4	3737.0625
1	orthogroup_1831	10	611	8	4	1806.25
1	orthogroup_2	3	132	9	5	8458.3
1	orthogroup_203	2	12	9	3	0.0
1	orthogroup_22	2	10	8	4	3.0625
1	orthogroup_23	4	123	8	3	0.0
1	orthogroup_329	1	208	9	4	3924.6666666666665
1	orthogroup_329	6	343	9	3	967.0
1	orthogroup_334	1	46	9	3	217.33333333333334
1	orthogroup_36	1	3	8	5	5.3
1	orthogroup_387	4	252	8	3	114.08333333333333
1	orthogroup_540	3	14	9	7	544.7857142857143
1	orthogroup_548	1	113	9	5	1656.3
1	orthogroup_548	6	141	9	5	1170.2
1	orthogroup_554	4	56	9	3	571.75
1	orthogroup_554	7	250	9	4	119.5625
1	orthogroup_554	8	428	9	4	824.9166666666666
1	orthogroup_582	1	183	8	5	2552.0
1	orthogroup_582	6	268	8	3	225.33333333333334
1	orthogroup_582	12	690	8	3	0.3333333333333333
1	orthogroup_598	1	146	9	4	3144.9166666666665
1	orthogroup_65	1	876	9	5	72184.55
1	orthogroup_7	5	212	9	3	12.0
1	orthogroup_755	1	294	9	5	1834.3
1	orthogroup_76	6	119	8	3	176.33333333333334
1	orthogroup_767	1	320	10	7	110.80952380952381
1	orthogroup_80	3	160	9	5	0.0
1	orthogroup_81	1	181	10	3	1365.3333333333333
1	orthogroup_870	1	164	9	5	1249.2
1	orthogroup_900	1	487	9	5	5283.55
1	orthogroup_946	1	345	8	4	10132.25
1	orthogroup_96	1	287	9	6	3392.1666666666665
1	orthogroup_968	1	122	8	4	3473.5833333333335
1	orthogroup_968	4	375	8	5	3753.55
1	orthogroup_995	5	9	9	3	0.0
2	orthogroup_1014	6	74	9	5	4108.7
2	orthogroup_1038	1	245	9	3	65.33333333333333
2	orthogroup_1040	1	219	8	3	208.33333333333334
2	orthogroup_105	8	229	9	7	3515.5714285714284
2	orthogroup_1124	4	213	9	3	7396.0
2	orthogroup_1158	1	322	9	4	991.5833333333334
2	orthogroup_1158	5	560	9	3	0.0
2	orthogroup_1177	1	262	9	3	4114.333333333333
2	orthogroup_1181	1	222	10	3	1274.3333333333333
2	orthogroup_119	1	120	8	5	266.175
2	orthogroup_1208	1	115	9	3	240.33333333333334
2	orthogroup_1267	10	258	9	3	268.0
2	orthogroup_1271	1	70	10	6	0.0
2	orthogroup_1335	7	364	9	3	133.33333333333334
2	orthogroup_1363	1	50	9	3	284.3333333333333
2	orthogroup_1379	3	264	10	3	20.083333333333332
2	orthogroup_14	1	127	8	4	1824.0
2	orthogroup_1400	1	165	8	3	456.3333333333333
2	orthogroup_1406	1	103	9	5	2558.675
2	orthogroup_1408	7	45	9	3	1073.5833333333333
2	orthogroup_1408	8	218	9	4	11268.916666666666
2	orthogroup_1435	1	218	8	5	10546.3
2	orthogroup_1445	6	74	9	3	10.333333333333334
2	orthogroup_145	5	83	8	3	363.0
2	orthogroup_1453	8	356	8	4	16315.333333333334
2	orthogroup_1557	10	230	8	5	683.675
2	orthogroup_1627	1	175	9	3	5461.333333333333
2	orthogroup_1627	4	181	9	4	3960.3333333333335
2	orthogroup_1636	3	406	10	3	2137.0
2	orthogroup_1733	8	575	9	3	19.0
2	orthogroup_1742	2	158	9	4	1586.0
2	orthogroup_1742	3	316	9	3	961.3333333333334
2	orthogroup_1779	7	475	8	3	10409.333333333334
2	orthogroup_1784	1	110	8	3	2666.3333333333335
