permutation	qualifying_units	median_variance
1	50	107.166667
2	51	371.583333
3	54	115.958333
4	52	120.916667
5	54	93.291667
6	43	184.333333
7	54	186.458333
8	53	96.333333
9	50	120.614583
10	60	172.833333
11	55	97.333333
12	34	144.697917
13	53	100.000000
14	54	137.416667
15	64	122.400000
16	55	261.333333
17	47	72.583333
18	51	192.000000
19	59	105.333333
20	54	230.333333
21	56	155.625000
22	40	300.708333
23	53	118.229167
24	47	291.000000
25	59	140.250000
26	33	137.062500
27	42	106.333333
28	47	133.000000
29	60	161.333333
30	48	223.541667
31	68	208.416667
32	50	154.208333
33	50	325.833333
34	49	140.083333
35	43	194.000000
36	59	90.333333
37	43	401.333333
38	58	175.208333
39	48	134.114583
40	50	155.208333
41	35	90.333333
42	65	145.333333
43	41	144.000000
44	52	214.625000
45	52	126.291667
46	61	134.750000
47	44	146.958333
48	47	120.333333
49	52	103.387500
50	49	192.000000
51	46	202.316667
52	50	255.541667
53	51	206.450000
54	52	177.791667
55	60	89.541667
56	47	183.341667
57	56	112.250000
58	49	181.000000
59	49	250.916667
60	43	96.333333
61	51	134.333333
62	52	200.166667
63	46	167.333333
64	38	96.458333
65	50	142.583333
66	46	132.500000
67	50	84.291667
68	59	70.333333
69	52	170.041667
70	55	349.000000
71	55	242.250000
72	53	234.800000
73	50	154.125000
74	40	71.333333
75	46	109.364583
76	47	185.333333
77	51	233.333333
78	50	64.291667
79	49	100.333333
80	50	184.650000
81	64	171.458333
82	49	165.729167
83	48	157.458333
84	52	95.208333
85	43	237.583333
86	47	120.333333
87	44	126.041667
88	42	276.406250
89	59	108.333333
90	48	73.041667
91	58	150.166667
92	44	282.166667
93	44	174.458333
94	47	147.250000
95	44	61.322917
96	49	109.000000
97	60	204.333333
98	49	93.729167
99	53	73.000000
100	47	217.000000
101	50	118.406250
102	41	89.333333
103	53	225.333333
104	54	101.708333
105	53	352.333333
106	48	134.833333
107	55	102.333333
108	56	196.166667
109	57	243.000000
110	55	96.333333
111	48	493.666667
112	60	171.166667
113	43	208.583333
114	43	176.333333
115	67	173.083333
116	49	101.562500
117	52	212.208333
118	56	56.666667
119	49	63.062500
120	49	193.000000
121	46	177.291667
122	50	106.400000
123	63	192.000000
124	44	192.000000
125	50	133.666667
126	46	262.833333
127	58	70.833333
128	42	195.333333
129	58	406.208333
130	53	185.333333
131	53	96.333333
132	44	150.141667
133	42	61.333333
134	50	153.000000
135	56	111.166667
136	53	184.333333
137	51	76.750000
138	40	164.666667
139	44	174.979167
140	55	108.000000
141	41	176.333333
142	53	151.083333
143	54	142.781250
144	70	110.625000
145	49	74.333333
146	58	125.666667
147	46	106.712500
148	43	165.083333
149	47	347.200000
150	52	339.166667
151	46	148.666667
152	56	184.791667
153	53	91.000000
154	46	205.208333
155	58	118.541667
156	51	161.333333
157	50	276.833333
158	48	154.666667
159	61	96.333333
160	50	244.000000
161	53	202.333333
162	54	164.125000
163	51	421.333333
164	56	160.031250
165	52	159.958333
166	51	127.750000
167	45	243.000000
168	48	233.041667
169	63	192.000000
170	62	405.791667
171	51	229.333333
172	42	210.583333
173	51	147.000000
174	55	124.000000
175	57	133.333333
176	40	197.708333
177	66	119.166667
178	50	160.833333
179	39	96.750000
180	47	112.000000
181	52	79.625000
182	42	61.816667
183	60	149.489583
184	44	263.833333
185	55	120.333333
186	49	192.000000
187	59	175.562500
188	50	130.416667
189	45	91.000000
190	58	298.781250
191	47	482.333333
192	51	88.666667
193	55	89.583333
194	50	242.625000
195	60	212.833333
196	55	127.000000
197	57	190.750000
198	46	110.208333
199	57	135.250000
200	46	200.739583
201	48	275.833333
202	52	329.500000
203	56	184.818750
204	46	173.666667
205	50	265.291667
206	70	119.333333
207	40	212.291667
208	52	254.662500
209	44	277.333333
210	50	139.666667
211	46	150.579167
212	53	172.000000
213	45	193.083333
214	61	135.750000
215	55	184.333333
216	43	519.541667
217	58	130.083333
218	61	108.333333
219	49	124.333333
220	55	144.750000
221	41	86.083333
222	55	144.916667
223	53	168.750000
224	35	134.333333
225	51	289.333333
226	54	185.675000
227	57	196.083333
228	48	202.041667
229	50	281.058333
230	43	180.250000
231	54	473.958333
232	60	138.666667
233	42	156.666667
234	47	139.000000
235	47	132.666667
236	52	226.666667
237	52	134.541667
238	48	167.947917
239	47	83.250000
240	45	99.750000
241	48	154.850000
242	48	102.791667
243	46	157.541667
244	48	308.041667
245	49	147.000000
246	52	122.166667
247	57	146.583333
248	51	135.416667
249	55	116.333333
250	46	132.666667
251	38	179.333333
252	54	113.781250
253	67	154.229167
254	54	153.541667
255	46	274.458333
256	55	82.750000
257	37	204.266667
258	59	108.895833
259	54	240.641667
260	54	489.625000
261	49	168.083333
262	55	210.333333
263	46	132.166667
264	53	151.083333
265	54	155.447917
266	47	156.333333
267	38	198.333333
268	56	127.864583
269	54	95.375000
270	44	208.500000
271	47	254.333333
272	48	159.041667
273	53	176.333333
274	47	144.000000
275	47	232.750000
276	51	115.083333
277	53	243.229167
278	41	142.333333
279	46	294.541667
280	48	108.489583
281	64	252.816667
282	52	238.333333
283	55	203.583333
284	41	261.333333
285	43	161.583333
286	61	108.333333
287	41	139.750000
288	57	200.333333
289	47	180.333333
290	44	177.166667
291	58	184.833333
292	52	172.400000
293	57	203.250000
294	49	91.000000
295	50	76.000000
296	49	77.666667
297	60	176.333333
298	51	183.000000
299	49	258.729167
300	54	213.541667
301	44	140.958333
302	59	126.895833
303	53	127.000000
304	53	218.583333
305	53	82.333333
306	52	133.458333
307	47	390.062500
308	49	108.333333
309	55	157.000000
310	51	184.083333
311	46	243.333333
312	44	360.791667
313	47	176.333333
314	50	170.791667
315	48	215.041667
316	53	281.583333
317	46	69.031250
318	49	200.333333
319	33	260.895833
320	51	117.125000
321	42	180.333333
322	55	78.250000
323	47	177.333333
324	49	112.333333
325	59	183.000000
326	49	210.083333
327	59	197.333333
328	51	121.333333
329	50	119.697917
330	49	244.333333
331	64	129.933333
332	49	91.000000
333	41	156.229167
334	47	120.333333
335	43	154.333333
336	46	140.541667
337	52	213.739583
338	58	155.833333
339	49	92.333333
340	51	171.000000
341	48	165.041667
342	50	226.041667
343	58	225.208333
344	48	124.541667
345	51	192.000000
346	46	150.166667
347	52	209.833333
348	39	269.200000
349	42	155.641667
350	62	106.791667
351	50	154.208333
352	47	249.250000
353	37	164.700000
354	46	129.791667
355	57	100.333333
356	61	112.666667
357	52	133.666667
358	53	134.250000
359	47	146.916667
360	53	162.333333
361	60	141.666667
362	45	133.333333
363	41	570.729167
364	44	224.947917
365	48	111.166667
366	53	200.333333
367	49	180.250000
368	43	185.333333
369	48	192.000000
370	46	124.166667
371	44	147.500000
372	48	236.125000
373	52	168.666667
374	53	154.333333
375	47	137.333333
376	47	124.750000
377	56	253.708333
378	54	305.666667
379	58	128.166667
380	46	49.166667
381	47	161.333333
382	49	200.333333
383	53	142.700000
384	43	108.333333
385	52	77.291667
386	56	89.166667
387	55	137.583333
388	50	115.333333
389	43	261.333333
390	60	431.541667
391	38	170.364583
392	62	105.333333
393	60	145.625000
394	45	94.925000
395	55	290.333333
396	50	200.375000
397	35	174.333333
398	45	191.062500
399	56	146.166667
400	53	127.050000
401	59	170.333333
402	56	170.531250
403	48	140.500000
404	52	103.947917
405	52	448.947917
406	48	224.031250
407	53	192.000000
