permutation	qualifying_units	median_variance
1	51	82.750000
2	45	255.825000
3	56	107.291667
4	60	126.500000
5	53	119.895833
6	47	112.583333
7	55	172.583333
8	58	126.166667
9	51	125.729167
10	60	245.291667
11	49	169.000000
12	42	96.375000
13	46	100.791667
14	53	156.333333
15	60	88.500000
16	57	243.000000
17	55	120.333333
18	49	291.000000
19	55	121.333333
20	51	210.750000
21	55	140.333333
22	43	373.083333
23	48	90.583333
24	52	123.000000
25	51	127.000000
26	40	172.666667
27	48	144.291667
28	42	147.125000
29	42	176.333333
30	50	162.916667
31	55	196.583333
32	45	182.000000
33	47	226.333333
34	54	116.000000
35	42	166.166667
36	51	111.000000
37	41	201.000000
38	49	261.333333
39	50	98.166667
40	46	101.125000
41	43	176.333333
42	60	114.333333
43	41	91.000000
44	54	140.406250
45	53	152.333333
46	61	153.250000
47	53	225.750000
48	42	138.820833
49	55	121.333333
50	45	142.062500
51	45	331.000000
52	46	159.958333
53	47	185.250000
54	56	120.958333
55	63	121.750000
56	49	195.583333
57	57	128.250000
58	49	104.333333
59	51	147.000000
60	44	109.916667
61	54	155.697917
62	55	96.333333
63	43	240.333333
64	45	176.333333
65	47	161.333333
66	42	115.166667
67	50	101.541667
68	56	78.000000
69	55	166.333333
70	56	215.000000
71	61	237.583333
72	61	132.202381
73	48	140.333333
74	48	82.052083
75	45	124.333333
76	48	95.125000
77	49	192.000000
78	52	90.041667
79	47	132.333333
80	47	137.062500
81	52	169.458333
82	45	157.416667
83	53	105.229167
84	58	83.900000
85	45	147.000000
86	43	173.583333
87	40	78.541667
88	44	174.083333
89	59	123.583333
90	46	95.225000
91	54	90.833333
92	54	268.666667
93	40	168.833333
94	48	211.333333
95	50	58.333333
96	40	119.208333
97	52	214.291667
98	54	135.333333
99	51	94.333333
100	47	290.083333
101	47	133.333333
102	44	113.041667
103	49	189.666667
104	57	108.000000
105	47	333.000000
106	46	221.166667
107	53	102.333333
108	55	210.333333
109	55	180.250000
110	60	64.900000
111	50	274.083333
112	56	159.239583
113	40	219.708333
114	46	155.958333
115	65	114.333333
116	47	125.062500
117	54	142.000000
118	55	129.000000
119	46	65.791667
120	49	246.333333
121	42	143.166667
122	49	73.000000
123	63	147.000000
124	50	189.166667
125	50	197.000000
126	52	124.625000
127	70	148.333333
128	48	259.958333
129	47	408.333333
130	47	194.700000
131	53	124.083333
132	44	133.166667
133	50	87.708333
134	49	122.333333
135	54	96.812500
136	50	130.239583
137	49	120.333333
138	42	176.000000
139	52	135.833333
140	56	93.050000
141	42	142.083333
142	49	111.083333
143	51	158.083333
144	62	123.739583
145	47	75.000000
146	56	113.750000
147	45	85.750000
148	43	120.895833
149	45	205.395833
150	54	210.333333
151	53	80.083333
152	57	200.333333
153	56	129.825000
154	48	123.729167
155	59	126.750000
156	57	144.333333
157	49	310.333333
158	48	147.500000
159	60	105.583333
160	53	196.333333
161	56	120.916667
162	57	161.333333
163	52	227.500000
164	53	219.000000
165	50	117.333333
166	55	60.750000
167	49	192.000000
168	48	145.166667
169	60	137.791667
170	64	133.541667
171	50	112.500000
172	46	267.375000
173	50	194.666667
174	53	138.062500
175	54	194.041667
176	48	243.666667
177	70	148.666667
178	53	85.333333
179	45	142.333333
180	55	144.666667
181	48	95.958333
182	45	74.333333
183	54	146.489583
184	45	330.916667
185	53	114.333333
186	50	183.833333
187	54	114.166667
188	43	61.583333
189	50	146.666667
190	71	154.083333
191	49	278.000000
192	53	65.333333
193	50	127.958333
194	47	162.333333
195	57	209.062500
196	46	164.291667
197	53	140.250000
198	43	111.000000
199	65	125.062500
200	51	185.250000
201	43	214.750000
202	50	98.031250
203	62	253.666667
204	51	136.333333
205	52	225.625000
206	55	99.000000
207	48	156.562500
208	45	253.825000
209	42	122.666667
210	55	165.333333
211	47	190.333333
212	51	243.000000
213	45	169.000000
214	61	140.333333
215	53	123.583333
216	45	291.083333
217	57	94.750000
218	61	90.750000
219	55	103.000000
220	59	155.800000
221	39	67.000000
222	58	191.708333
223	53	94.333333
224	39	196.000000
225	57	157.750000
226	58	201.275000
227	54	161.791667
228	46	220.000000
229	51	88.916667
230	42	194.166667
231	61	217.000000
232	52	135.333333
233	49	109.729167
234	46	168.541667
235	47	123.750000
236	56	109.291667
237	54	130.375000
238	45	176.333333
239	46	71.875000
240	50	265.833333
241	44	87.958333
242	52	101.531250
243	50	235.666667
244	45	198.000000
245	48	132.562500
246	51	181.000000
247	61	147.000000
248	47	139.000000
249	60	103.708333
250	51	213.083333
251	36	129.916667
252	56	122.697917
253	60	206.541667
254	51	100.750000
255	51	163.000000
256	49	69.333333
257	46	160.000000
258	55	124.916667
259	50	420.364583
260	51	341.333333
261	43	140.083333
262	52	203.458333
263	52	133.750000
264	48	137.041667
265	54	80.166667
266	50	172.791667
267	36	155.833333
268	54	121.458333
269	52	221.458333
270	50	216.791667
271	52	201.791667
272	48	155.114583
273	51	220.333333
274	48	106.666667
275	40	93.666667
276	55	139.000000
277	49	197.333333
278	37	102.333333
279	47	196.000000
280	53	131.000000
281	58	187.166667
282	46	261.958333
283	46	213.333333
284	37	169.000000
285	56	184.291667
286	51	159.250000
287	43	81.229167
288	63	169.333333
289	43	234.333333
290	50	203.531250
291	49	256.750000
292	46	161.666667
293	59	240.083333
294	54	64.291667
295	52	121.666667
296	50	90.166667
297	51	147.000000
298	52	217.375000
299	53	248.583333
300	50	143.875000
301	42	229.114583
302	54	121.516667
303	47	192.000000
304	57	194.916667
305	57	132.250000
306	52	146.333333
307	50	235.333333
308	57	145.333333
309	53	183.562500
310	59	198.583333
311	45	153.583333
312	44	154.333333
313	46	117.500000
314	48	98.933333
315	60	268.708333
316	52	101.166667
317	49	207.750000
318	52	141.333333
319	40	212.958333
320	47	82.562500
321	45	96.333333
322	61	149.250000
323	51	162.333333
324	45	135.062500
325	59	156.916667
326	54	160.500000
327	61	295.583333
328	47	133.333333
329	50	111.125000
330	50	147.500000
331	59	145.200000
332	51	91.000000
333	47	189.000000
334	41	124.666667
335	44	148.666667
336	49	154.333333
337	50	176.125000
338	63	105.583333
339	46	158.833333
340	46	224.166667
341	47	90.750000
342	56	136.791667
343	61	228.916667
344	51	137.583333
345	56	99.958333
346	47	244.562500
347	47	151.083333
348	47	134.729167
349	46	180.666667
350	57	157.583333
351	47	171.000000
352	52	270.833333
353	36	158.316667
354	48	215.129167
355	59	125.083333
356	60	139.875000
357	54	139.447917
358	55	144.666667
359	41	124.333333
360	56	128.666667
361	57	154.229167
362	51	126.583333
363	48	441.333333
364	41	363.000000
365	50	114.208333
366	58	190.156250
367	54	169.697917
368	51	225.333333
369	49	152.229167
370	45	85.333333
371	53	133.000000
372	44	238.864583
373	48	182.458333
374	54	198.614583
375	53	158.333333
376	48	142.666667
377	52	190.275000
378	54	244.666667
379	57	114.333333
380	45	116.250000
381	48	309.364583
382	49	104.333333
383	53	90.750000
384	47	126.333333
385	51	104.666667
386	57	89.583333
387	56	125.166667
388	46	121.891667
389	54	243.333333
390	64	225.072917
391	43	120.333333
392	63	155.000000
393	50	94.958333
394	49	109.000000
395	56	305.208333
396	48	172.000000
397	39	202.333333
398	46	212.833333
399	51	138.083333
400	51	212.583333
401	54	128.541667
402	51	259.000000
403	51	124.000000
404	48	190.900000
405	53	244.916667
406	46	157.087500
407	55	176.666667
408	51	127.000000
409	53	192.000000
410	45	249.083333
411	46	137.500000
412	58	162.958333
413	47	218.250000
414	48	130.666667
415	53	158.333333
416	51	137.333333
417	55	151.083333
418	47	121.166667
419	58	91.666667
420	51	79.729167
421	48	96.541667
422	37	331.000000
423	42	134.916667
424	53	122.333333
425	54	82.208333
426	46	148.666667
427	48	97.614583
428	62	140.333333
429	49	64.266667
430	53	353.300000
431	65	238.250000
432	45	103.000000
433	44	307.708333
434	56	91.833333
435	47	169.750000
436	51	105.333333
437	58	101.041667
438	37	226.333333
439	54	125.208333
440	47	180.333333
441	55	116.916667
442	49	120.333333
443	49	165.583333
444	43	156.333333
445	42	314.375000
446	48	120.056250
447	56	100.166667
448	58	157.625000
449	50	167.333333
450	60	145.781250
451	52	207.583333
452	47	148.500000
453	46	202.625000
454	63	115.562500
455	48	174.333333
456	55	96.333333
457	54	211.291667
458	53	132.300000
459	47	264.666667
460	42	83.666667
461	50	182.625000
462	51	120.333333
463	51	147.000000
464	53	259.000000
465	44	179.031250
466	46	156.166667
467	51	65.333333
468	50	170.531250
469	50	201.333333
470	60	174.166667
471	40	85.833333
472	46	297.833333
473	63	155.750000
474	53	74.333333
475	48	160.458333
476	51	172.583333
477	47	162.750000
478	46	152.708333
479	55	156.250000
480	57	110.583333
481	49	123.583333
482	49	154.333333
483	51	170.333333
484	56	147.625000
485	51	182.750000
486	44	251.500000
487	62	162.958333
488	53	93.583333
489	49	204.333333
490	49	129.000000
491	67	105.333333
492	57	184.083333
493	54	363.906250
494	59	126.750000
495	54	170.166667
496	50	126.541667
497	55	282.250000
498	55	196.666667
499	48	243.708333
500	52	198.958333
501	54	165.625000
502	44	153.516667
503	51	158.083333
504	51	112.333333
505	44	94.625000
506	52	101.291667
507	39	88.083333
508	44	230.458333
509	65	85.333333
510	51	171.000000
511	47	134.333333
512	45	216.916667
513	44	170.791667
514	48	88.666667
515	51	147.000000
516	55	133.000000
517	48	120.833333
518	53	148.000000
519	51	326.083333
520	51	82.333333
521	57	125.083333
522	46	131.666667
523	48	186.208333
524	48	270.833333
525	45	156.333333
526	57	147.000000
527	61	120.333333
528	56	149.333333
529	54	60.208333
530	52	251.066667
531	56	147.031250
532	52	196.875000
533	57	147.000000
534	60	173.833333
535	56	224.375000
536	53	184.333333
537	46	178.333333
538	55	102.583333
539	59	86.333333
540	57	172.000000
541	55	147.250000
542	52	174.566667
543	51	126.333333
544	54	230.614583
545	53	169.000000
546	44	190.250000
547	53	121.333333
548	42	201.333333
549	52	172.666667
550	45	158.395833
551	53	112.062500
552	58	96.650000
553	57	111.000000
554	36	127.291667
555	64	242.708333
556	57	196.333333
557	50	394.333333
558	53	172.583333
559	46	114.916667
560	50	110.166667
561	46	104.750000
562	49	232.750000
563	45	147.000000
564	50	187.333333
565	55	162.000000
566	50	191.958333
567	48	134.666667
568	56	176.781250
569	44	212.708333
570	51	133.333333
571	50	120.125000
572	63	135.562500
573	48	111.666667
574	56	259.791667
575	59	116.333333
576	50	270.583333
577	53	96.333333
578	42	129.614583
579	43	192.000000
580	52	124.333333
581	43	185.333333
582	45	115.583333
583	57	101.333333
584	45	164.916667
585	63	197.333333
586	53	128.666667
587	54	102.614583
588	51	116.333333
589	54	86.666667
590	53	176.333333
591	57	76.333333
592	49	161.333333
593	47	186.333333
594	62	202.125000
595	41	144.000000
596	58	141.291667
597	45	112.000000
598	50	189.197917
599	50	109.875000
600	57	114.250000
601	50	377.250000
602	48	222.166667
603	55	102.333333
604	54	125.541667
605	56	282.447917
606	46	141.333333
607	54	100.166667
608	60	94.041667
609	50	136.041667
610	52	199.625000
611	39	300.000000
612	53	147.000000
613	60	145.031250
614	50	201.083333
615	57	116.333333
616	67	109.750000
617	50	106.208333
618	53	150.062500
619	45	133.666667
620	45	240.800000
621	43	97.333333
622	54	108.500000
623	51	247.000000
624	47	169.000000
625	53	94.083333
626	55	165.083333
627	48	122.666667
628	42	149.583333
629	50	104.797917
630	41	280.333333
631	47	161.333333
632	47	216.750000
633	56	279.625000
634	47	145.333333
635	50	119.541667
636	42	65.562500
637	54	106.166667
638	43	127.083333
639	45	159.250000
640	48	174.489583
641	46	193.166667
642	49	108.000000
643	39	271.000000
644	59	144.000000
645	44	66.666667
646	40	108.000000
647	56	115.666667
648	46	111.166667
649	46	167.208333
650	52	255.291667
651	53	142.333333
652	57	80.333333
653	56	63.666667
654	54	93.791667
655	56	245.004167
656	43	108.000000
657	59	132.333333
658	47	173.583333
659	51	122.333333
660	47	136.333333
661	48	224.125000
662	53	108.200000
663	54	131.000000
664	41	133.333333
665	46	106.583333
666	59	122.916667
667	51	144.833333
668	62	205.781250
669	56	128.541667
670	60	174.400000
671	51	67.000000
672	45	325.333333
673	55	180.750000
674	47	226.333333
675	59	115.500000
676	55	139.000000
677	50	102.333333
678	47	133.000000
679	49	192.800000
680	49	171.000000
681	50	139.916667
682	52	178.125000
683	53	152.333333
684	51	126.333333
685	58	139.989583
686	58	338.833333
687	52	145.625000
688	57	238.583333
689	51	81.333333
690	44	211.666667
691	51	112.000000
692	46	152.625000
693	52	165.166667
694	42	188.666667
695	36	197.958333
696	49	138.229167
697	55	273.000000
698	38	294.829167
699	58	200.625000
700	55	93.583333
701	48	123.489583
702	60	163.958333
703	44	199.625000
704	54	123.958333
705	48	196.333333
706	46	182.666667
707	48	179.291667
708	45	135.450000
709	55	96.333333
710	61	226.750000
711	50	140.691667
712	46	180.750000
713	57	153.229167
714	42	153.166667
715	52	183.197917
716	57	113.250000
717	67	161.333333
718	55	117.250000
719	43	67.750000
720	50	200.125000
721	46	210.247917
722	46	254.333333
723	44	161.333333
724	57	158.250000
725	52	112.475000
726	49	127.000000
727	41	114.333333
728	50	208.625000
729	59	202.333333
730	59	153.666667
731	43	208.250000
732	52	126.781250
733	56	81.541667
734	42	148.708333
735	53	40.666667
736	58	171.500000
737	54	111.516667
738	45	130.583333
739	56	114.666667
740	58	139.583333
741	43	104.333333
742	52	144.641667
743	51	121.000000
744	48	125.072917
745	55	147.333333
746	57	224.333333
747	51	124.916667
748	51	200.333333
749	50	199.333333
750	52	220.072917
751	53	180.333333
752	39	271.000000
753	51	156.333333
754	50	151.333333
755	55	96.333333
756	50	213.291667
757	50	98.031250
758	46	190.791667
759	55	108.000000
760	47	129.000000
761	57	124.000000
762	51	108.250000
763	44	182.666667
764	45	282.666667
765	39	130.750000
766	49	103.083333
767	60	82.250000
768	57	84.000000
769	51	136.333333
770	56	143.125000
771	64	163.191667
772	59	110.833333
773	49	147.000000
774	52	117.416667
775	52	135.464583
776	49	147.000000
777	45	101.333333
778	45	101.333333
779	43	240.250000
780	49	197.333333
781	56	252.781250
782	43	127.229167
783	48	277.166667
784	60	94.166667
785	49	96.333333
786	50	61.016667
787	52	228.531250
788	56	87.447917
789	50	111.166667
790	52	208.333333
791	58	126.958333
792	52	170.364583
793	62	141.031250
794	41	175.750000
795	51	212.583333
796	47	220.416667
797	49	102.250000
798	56	107.100000
799	53	136.333333
800	56	114.239583
801	68	104.166667
802	51	192.000000
803	58	87.833333
804	54	136.458333
805	51	169.750000
806	52	105.500000
807	50	161.000000
808	43	127.000000
809	48	92.666667
810	50	306.489583
811	55	192.000000
812	49	200.333333
813	48	174.875000
814	39	100.333333
815	53	129.333333
816	55	116.333333
817	52	197.666667
818	48	183.864583
819	47	133.333333
820	54	229.333333
821	51	252.000000
822	49	120.333333
823	51	229.562500
824	43	85.333333
825	49	114.395833
826	38	310.750000
827	47	135.750000
828	51	108.333333
829	53	183.000000
830	47	350.333333
831	36	422.666667
832	51	172.729167
833	46	200.025000
834	48	305.333333
835	53	162.750000
836	51	102.083333
837	60	174.666667
838	56	138.541667
839	55	127.000000
840	50	178.083333
841	57	176.333333
842	52	190.291667
843	51	112.333333
844	55	169.000000
845	55	81.333333
846	60	177.541667
847	45	136.750000
848	47	170.250000
849	51	106.229167
850	53	140.333333
851	50	200.114583
852	43	169.000000
853	50	151.416667
854	43	91.395833
855	54	101.333333
856	47	134.333333
857	48	128.041667
858	42	122.087500
859	45	111.083333
860	48	134.833333
861	53	120.229167
862	47	82.666667
863	50	89.333333
864	51	105.083333
865	58	121.416667
866	44	140.666667
867	43	185.229167
868	52	88.566667
869	41	108.583333
870	56	123.958333
871	44	80.333333
872	55	120.333333
873	54	107.541667
874	53	120.333333
875	66	192.541667
876	46	230.458333
877	47	121.333333
878	50	199.947917
879	59	177.333333
880	59	108.000000
881	52	127.875000
882	55	67.000000
883	56	255.791667
884	54	177.833333
885	47	160.333333
886	56	147.000000
887	55	75.000000
888	50	179.791667
889	45	200.083333
890	65	120.333333
891	47	97.333333
892	48	86.531250
893	52	144.791667
894	51	176.583333
895	49	184.333333
896	50	217.250000
897	48	117.291667
898	44	201.958333
899	51	154.333333
900	56	170.875000
901	49	216.925000
902	55	57.333333
903	54	154.050000
