permutation	orthogroup	tmd_index	species_total	species_with_feature	variance
1	orthogroup_119	3	8	3	105.083333
1	orthogroup_1619	2	9	3	3.000000
1	orthogroup_1208	4	9	4	3078.000000
1	orthogroup_1243	12	8	3	576.333333
1	orthogroup_136	1	9	3	183.000000
1	orthogroup_2	2	9	3	37.750000
1	orthogroup_971	4	8	3	17.583333
1	orthogroup_1379	6	10	3	10.333333
1	orthogroup_1154	3	9	3	4.333333
1	orthogroup_554	6	9	3	82.750000
1	orthogroup_1811	1	8	4	34.395833
1	orthogroup_2	1	9	4	5560.562500
1	orthogroup_1024	2	9	3	101.333333
1	orthogroup_1519	8	10	3	48.000000
1	orthogroup_1811	13	8	4	3958.916667
1	orthogroup_1636	6	10	3	5179.000000
1	orthogroup_1811	3	8	3	1226.333333
1	orthogroup_900	12	9	3	243.000000
1	orthogroup_824	6	10	3	18572.333333
1	orthogroup_105	2	9	3	616.333333
1	orthogroup_145	4	8	4	66.916667
1	orthogroup_1627	7	9	4	1.062500
1	orthogroup_159	6	8	4	178.916667
1	orthogroup_1453	1	8	5	26434.700000
1	orthogroup_772	2	9	3	1.333333
1	orthogroup_1294	2	8	3	0.250000
1	orthogroup_1462	3	9	3	13.000000
1	orthogroup_1154	5	9	3	660.333333
1	orthogroup_1406	6	9	4	4993.583333
1	orthogroup_159	7	8	3	0.333333
1	orthogroup_938	1	8	3	54.250000
1	orthogroup_1335	1	9	4	868.250000
1	orthogroup_799	1	10	3	2369.333333
1	orthogroup_119	2	8	3	49.083333
1	orthogroup_1642	1	8	4	1.083333
1	orthogroup_244	11	9	4	25.000000
1	orthogroup_1811	8	8	3	57.333333
1	orthogroup_1636	1	10	3	386.333333
1	orthogroup_244	1	9	3	16.000000
1	orthogroup_1663	10	9	3	10.083333
1	orthogroup_834	4	8	4	7.583333
1	orthogroup_565	6	8	3	1.083333
1	orthogroup_371	1	9	3	33.250000
1	orthogroup_119	1	8	5	267.575000
1	orthogroup_156	4	8	3	27.000000
1	orthogroup_1158	5	9	3	41810.333333
1	orthogroup_65	4	9	4	60810.250000
1	orthogroup_1554	2	8	4	108.250000
1	orthogroup_159	1	8	3	22.750000
1	orthogroup_329	12	9	6	1196.000000
1	orthogroup_371	3	9	3	123.583333
2	orthogroup_119	3	8	3	489.000000
2	orthogroup_759	1	9	3	390.333333
2	orthogroup_1811	9	8	3	7.000000
2	orthogroup_159	13	8	5	49.700000
2	orthogroup_1208	4	9	4	5389.562500
2	orthogroup_2	2	9	5	255.825000
2	orthogroup_1379	6	10	3	554.083333
2	orthogroup_1557	4	8	4	0.562500
2	orthogroup_554	6	9	5	112.500000
2	orthogroup_2	1	9	5	3088.700000
2	orthogroup_1379	8	10	3	124.000000
2	orthogroup_425	12	8	3	2944.333333
2	orthogroup_1696	3	9	3	2.333333
2	orthogroup_1811	13	8	6	8767.300000
2	orthogroup_1363	1	9	3	16.333333
2	orthogroup_1811	3	8	3	2191.000000
2	orthogroup_1408	1	9	3	391.750000
2	orthogroup_824	5	10	4	75.562500
2	orthogroup_204	1	8	3	0.000000
2	orthogroup_1453	1	8	6	29917.766667
2	orthogroup_772	2	9	5	2.550000
2	orthogroup_1811	4	8	4	1515.229167
2	orthogroup_548	5	9	4	40.333333
2	orthogroup_1154	5	9	3	584.333333
2	orthogroup_1406	6	9	7	6265.202381
2	orthogroup_23	1	8	3	919.000000
2	orthogroup_1808	1	8	3	23874.333333
2	orthogroup_968	1	8	3	32078.083333
2	orthogroup_834	2	8	4	22.000000
2	orthogroup_1408	5	9	3	449.333333
2	orthogroup_1808	4	8	4	9568.229167
2	orthogroup_1538	1	9	3	72.333333
2	orthogroup_1644	1	9	5	106.300000
2	orthogroup_1309	12	8	3	0.083333
2	orthogroup_244	1	9	4	125.666667
2	orthogroup_565	6	8	3	97.333333
2	orthogroup_1742	3	9	3	1279.083333
2	orthogroup_119	1	8	3	295.583333
2	orthogroup_156	4	8	3	120.333333
2	orthogroup_1158	5	9	3	32809.000000
2	orthogroup_554	5	9	3	70.333333
2	orthogroup_80	4	9	4	7.062500
2	orthogroup_65	4	9	4	20946.395833
2	orthogroup_1554	2	8	3	237.250000
2	orthogroup_329	12	9	4	9.000000
3	orthogroup_1644	2	9	3	106.583333
3	orthogroup_14	3	8	4	0.250000
3	orthogroup_1811	9	8	4	8.500000
3	orthogroup_870	1	9	3	322.583333
3	orthogroup_790	6	9	4	14761.395833
3	orthogroup_2	2	9	6	1029.066667
3	orthogroup_1406	1	9	3	149.333333
3	orthogroup_1557	4	8	4	16.000000
3	orthogroup_554	6	9	4	0.229167
3	orthogroup_1619	1	9	3	0.333333
3	orthogroup_1406	3	9	3	2.333333
3	orthogroup_387	8	8	3	5.333333
3	orthogroup_145	2	8	3	0.000000
3	orthogroup_1811	13	8	5	11598.050000
3	orthogroup_610	4	9	3	588.000000
3	orthogroup_1636	6	10	3	468.750000
3	orthogroup_454	2	9	3	4272.333333
3	orthogroup_244	6	9	3	0.083333
3	orthogroup_156	9	8	3	0.000000
3	orthogroup_1811	2	8	3	99.250000
3	orthogroup_1663	4	9	4	258.250000
3	orthogroup_1408	1	9	3	186.333333
3	orthogroup_204	1	8	3	13369.333333
3	orthogroup_145	3	8	3	4.000000
3	orthogroup_1453	1	8	6	38178.266667
3	orthogroup_759	6	9	3	0.083333
3	orthogroup_1804	4	8	3	108.000000
3	orthogroup_772	2	9	3	0.750000
3	orthogroup_1811	4	8	5	1242.700000
3	orthogroup_387	1	8	3	82.333333
3	orthogroup_548	4	9	3	12.250000
3	orthogroup_554	1	9	4	1365.395833
3	orthogroup_1408	2	9	3	0.333333
3	orthogroup_1808	1	8	5	16170.200000
3	orthogroup_1481	1	9	3	52.000000
3	orthogroup_1335	1	9	6	2065.166667
3	orthogroup_687	1	9	4	144.666667
3	orthogroup_1808	4	8	3	1845.083333
3	orthogroup_334	4	9	3	93.000000
3	orthogroup_1538	1	9	3	604.333333
3	orthogroup_1363	6	9	4	15.895833
3	orthogroup_244	1	9	3	10.583333
3	orthogroup_834	4	8	3	8.333333
3	orthogroup_1362	1	9	3	116.333333
3	orthogroup_119	1	8	3	175.583333
3	orthogroup_156	4	8	4	95.229167
3	orthogroup_1799	9	9	3	27.000000
3	orthogroup_1830	1	8	3	706.333333
3	orthogroup_554	5	9	3	277.333333
3	orthogroup_1811	10	8	3	32.250000
3	orthogroup_598	8	9	3	149.333333
3	orthogroup_65	4	9	7	14123.250000
3	orthogroup_1554	2	8	3	105.083333
3	orthogroup_329	12	9	3	1486.333333
3	orthogroup_1524	1	9	3	244.000000
3	orthogroup_1627	11	9	3	13.000000
4	orthogroup_934	1	8	3	271.000000
4	orthogroup_870	1	9	3	282.583333
4	orthogroup_790	6	9	4	6715.333333
4	orthogroup_1619	2	9	4	22.562500
4	orthogroup_900	8	9	3	16.333333
4	orthogroup_1554	4	8	3	52.000000
4	orthogroup_159	3	8	3	0.000000
4	orthogroup_1074	3	9	4	0.750000
4	orthogroup_1406	1	9	3	9.750000
4	orthogroup_1435	6	8	4	463.000000
4	orthogroup_1154	3	9	3	40.333333
4	orthogroup_1644	4	9	3	30.333333
4	orthogroup_554	6	9	3	0.333333
4	orthogroup_687	6	9	4	50.250000
4	orthogroup_210	1	9	4	0.250000
4	orthogroup_1689	1	9	3	174.333333
4	orthogroup_870	2	9	3	44.333333
4	orthogroup_1811	13	8	4	4605.500000
4	orthogroup_1636	6	10	5	6481.425000
4	orthogroup_1243	6	8	3	21.333333
4	orthogroup_178	1	10	3	1.333333
4	orthogroup_145	4	8	4	8.562500
4	orthogroup_1627	7	9	3	3.250000
4	orthogroup_1307	8	8	3	7.000000
4	orthogroup_1811	5	8	3	108.333333
4	orthogroup_1408	1	9	3	403.000000
4	orthogroup_609	2	9	4	217.729167
4	orthogroup_204	1	8	3	12700.333333
4	orthogroup_1831	8	8	3	4784.333333
4	orthogroup_96	5	9	4	179.666667
4	orthogroup_1811	4	8	3	361.583333
4	orthogroup_548	5	9	4	0.166667
4	orthogroup_1406	6	9	4	4929.395833
4	orthogroup_946	11	8	4	7256.916667
4	orthogroup_1804	3	8	3	151.000000
4	orthogroup_1733	7	9	3	6597.333333
4	orthogroup_582	7	8	3	2858.333333
4	orthogroup_554	1	9	3	1684.333333
4	orthogroup_1645	1	8	3	285.250000
4	orthogroup_938	1	8	3	46.083333
4	orthogroup_834	2	8	3	1.083333
4	orthogroup_1335	1	9	3	38678.083333
4	orthogroup_1208	1	9	4	431.333333
4	orthogroup_1808	4	8	4	13242.000000
4	orthogroup_338	1	10	3	399.000000
4	orthogroup_1538	1	9	4	234.916667
