permutation	orthogroup	tmd_index	species_total	species_with_feature	variance
1	orthogroup_582	7	8	3	2379.000000
1	orthogroup_1406	6	9	4	4989.666667
1	orthogroup_329	12	9	7	4384.666667
1	orthogroup_1014	6	9	4	304.250000
1	orthogroup_1309	7	8	3	3.583333
1	orthogroup_1627	7	9	4	2.729167
1	orthogroup_1554	3	8	3	105.333333
1	orthogroup_1453	1	8	5	26937.950000
1	orthogroup_565	6	8	3	1.083333
1	orthogroup_834	4	8	4	7.583333
1	orthogroup_1158	5	9	3	49330.333333
1	orthogroup_1636	6	10	3	5179.000000
1	orthogroup_159	6	8	3	21.333333
1	orthogroup_971	4	8	3	17.583333
1	orthogroup_1831	7	8	3	422.333333
1	orthogroup_1243	12	8	3	576.333333
1	orthogroup_588	6	8	3	85.333333
1	orthogroup_938	2	8	4	126.416667
1	orthogroup_824	6	10	3	18572.333333
1	orthogroup_1642	1	8	4	1.083333
1	orthogroup_1811	1	8	3	42.250000
1	orthogroup_1379	6	10	3	10.333333
1	orthogroup_799	1	10	3	2379.000000
1	orthogroup_119	3	8	3	99.250000
1	orthogroup_900	12	9	3	243.000000
1	orthogroup_65	4	9	4	60810.250000
1	orthogroup_244	11	9	4	25.000000
1	orthogroup_244	1	9	3	4.333333
1	orthogroup_1208	4	9	4	3078.000000
1	orthogroup_1811	13	8	4	3648.916667
1	orthogroup_159	7	8	3	0.333333
1	orthogroup_329	6	9	4	1593.229167
1	orthogroup_1811	3	8	5	1383.300000
1	orthogroup_1294	2	8	3	0.250000
1	orthogroup_119	2	8	6	62.866667
1	orthogroup_1335	1	9	4	942.000000
1	orthogroup_772	2	9	3	1.333333
1	orthogroup_1804	5	8	3	109.000000
1	orthogroup_145	4	8	3	0.333333
1	orthogroup_425	8	8	3	236.333333
1	orthogroup_1519	8	10	3	48.000000
1	orthogroup_1410	3	9	3	256.333333
1	orthogroup_371	1	9	3	62.583333
1	orthogroup_105	2	9	3	550.333333
1	orthogroup_2	2	9	4	104.083333
1	orthogroup_1619	2	9	3	3.000000
1	orthogroup_1154	3	9	4	155.000000
1	orthogroup_2	1	9	3	89.333333
1	orthogroup_159	1	8	3	22.750000
1	orthogroup_96	2	9	3	124.333333
2	orthogroup_1406	6	9	7	6316.535714
2	orthogroup_425	12	8	3	3096.333333
2	orthogroup_159	13	8	4	52.250000
2	orthogroup_329	12	9	5	7650.800000
2	orthogroup_1811	9	8	4	42.250000
2	orthogroup_1742	3	9	3	989.583333
2	orthogroup_1808	1	8	3	23664.333333
2	orthogroup_582	6	8	3	1504.333333
2	orthogroup_1696	3	9	3	4.333333
2	orthogroup_1636	5	10	3	654.250000
2	orthogroup_1538	1	9	3	97.333333
2	orthogroup_968	1	8	3	32078.083333
2	orthogroup_1363	1	9	3	16.333333
2	orthogroup_834	2	8	3	0.333333
2	orthogroup_159	14	8	3	281.583333
2	orthogroup_1627	7	9	3	335.083333
2	orthogroup_1453	1	8	6	30457.466667
2	orthogroup_1408	1	9	3	371.583333
2	orthogroup_1158	5	9	3	32809.000000
2	orthogroup_1208	3	9	3	544.750000
2	orthogroup_1808	4	8	4	9643.729167
2	orthogroup_204	2	8	3	3.000000
2	orthogroup_1557	4	8	5	20.000000
2	orthogroup_1554	4	8	3	25.083333
2	orthogroup_1642	4	8	3	794.333333
2	orthogroup_1811	4	8	3	866.083333
2	orthogroup_1644	2	9	3	49.000000
2	orthogroup_96	9	9	3	103.000000
2	orthogroup_119	3	8	3	506.333333
2	orthogroup_900	12	9	3	9180.333333
2	orthogroup_65	4	9	4	80773.395833
2	orthogroup_244	11	9	3	16.333333
2	orthogroup_682	2	8	3	169.000000
2	orthogroup_824	5	10	4	71.395833
2	orthogroup_80	4	9	5	904.950000
2	orthogroup_244	1	9	4	8.333333
2	orthogroup_1208	4	9	4	5482.562500
2	orthogroup_1811	13	8	6	8581.366667
2	orthogroup_1811	3	8	4	2695.000000
2	orthogroup_1379	8	10	3	129.000000
2	orthogroup_772	2	9	5	2.550000
2	orthogroup_23	1	8	3	850.333333
2	orthogroup_554	6	9	3	379.000000
2	orthogroup_1309	12	8	4	46.729167
2	orthogroup_2	2	9	6	478.466667
2	orthogroup_371	4	9	4	152.062500
2	orthogroup_145	6	8	3	114.333333
2	orthogroup_1406	4	9	4	234.062500
2	orthogroup_2	1	9	4	945.000000
2	orthogroup_554	7	9	3	11.083333
2	orthogroup_548	6	9	4	51.583333
3	orthogroup_387	8	8	3	0.000000
3	orthogroup_156	9	8	3	0.000000
3	orthogroup_329	12	9	3	1486.333333
3	orthogroup_1811	9	8	4	49.833333
3	orthogroup_790	6	9	4	16233.000000
3	orthogroup_1808	1	8	4	14008.916667
3	orthogroup_244	6	9	3	0.083333
3	orthogroup_1696	3	9	3	133.583333
3	orthogroup_1538	1	9	3	201.333333
3	orthogroup_554	1	9	4	1204.562500
3	orthogroup_687	1	9	4	148.916667
3	orthogroup_1074	6	9	3	196.333333
3	orthogroup_1453	1	8	5	38121.700000
3	orthogroup_1408	1	9	3	171.000000
3	orthogroup_834	4	8	3	363.000000
3	orthogroup_1636	6	10	3	509.250000
3	orthogroup_387	1	8	3	105.333333
3	orthogroup_1208	3	9	3	153.583333
3	orthogroup_1808	4	8	3	1845.083333
3	orthogroup_1408	3	9	3	0.333333
3	orthogroup_1799	10	9	3	24.333333
3	orthogroup_588	6	8	3	70.083333
3	orthogroup_145	3	8	3	4.000000
3	orthogroup_1557	4	8	4	13.666667
3	orthogroup_1811	11	8	3	28.583333
3	orthogroup_1811	4	8	3	1351.000000
3	orthogroup_900	12	9	3	9562.333333
3	orthogroup_65	4	9	7	14111.654762
3	orthogroup_145	2	8	3	0.000000
3	orthogroup_244	1	9	3	12.250000
3	orthogroup_1811	13	8	5	11830.050000
3	orthogroup_329	6	9	3	2331.000000
3	orthogroup_1811	3	8	4	1736.166667
3	orthogroup_1379	8	10	4	57.583333
3	orthogroup_119	2	8	3	168.250000
3	orthogroup_1307	8	8	3	165.333333
3	orthogroup_1363	6	9	4	13.229167
